Time,PositionX,PositionY,PositionZ,OrientationX,OrientationY,OrientationZ,OrientationW
62.87466,0.05805206,1.12347,6.545696,0.2330161,-0.1436862,0.06489781,0.9596072
62.88538,0.05971169,1.123251,6.545815,0.2347586,-0.1369545,0.06685036,0.9600328
62.89651,0.06136131,1.123015,6.545893,0.2369785,-0.1301018,0.06867756,0.9603115
62.90776,0.06308663,1.122478,6.545855,0.2400307,-0.1230096,0.07046926,0.9603583
62.91869,0.06476343,1.121895,6.545846,0.2433734,-0.1161347,0.0721937,0.9602449
62.93019,0.06646502,1.121168,6.545733,0.2476486,-0.109031,0.073814,0.9598614
62.94065,0.0681814,1.12027,6.545667,0.2521159,-0.1019435,0.07532302,0.95936
62.95201,0.06986928,1.11931,6.545481,0.2574658,-0.09471529,0.07655009,0.9585825
62.96334,0.07152092,1.11819,6.545167,0.2630943,-0.08762978,0.07750754,0.9576508
62.97417,0.07311571,1.116992,6.544827,0.2691236,-0.0805,0.07827438,0.9565383
62.9853,0.07475102,1.115704,6.544419,0.2755527,-0.07342573,0.0789681,0.955219
62.99622,0.07635343,1.114399,6.544027,0.2816417,-0.06647426,0.07968105,0.9538921
63.0074,0.07786715,1.113185,6.543647,0.287323,-0.05957375,0.08058804,0.9525765
63.01886,0.07935441,1.112144,6.543373,0.2921314,-0.05290292,0.08144194,0.9514346
63.02952,0.08062649,1.111387,6.543217,0.295565,-0.04657289,0.08236383,0.9506254
63.04063,0.08186567,1.110814,6.543164,0.2981766,-0.04072627,0.0833611,0.9499911
63.05197,0.08284056,1.110544,6.543349,0.2996423,-0.03560478,0.08415819,0.9496654
63.06325,0.08392465,1.110175,6.543364,0.3006617,-0.03113533,0.0848611,0.9494376
63.07446,0.08484232,1.110079,6.543461,0.3011132,-0.02735372,0.08527783,0.9493737
63.08502,0.0856024,1.110123,6.543545,0.3009978,-0.02420404,0.08558591,0.9494681
63.09613,0.08635867,1.110204,6.543633,0.300898,-0.02112162,0.08561483,0.9495706
63.10731,0.08700871,1.110361,6.543709,0.3005862,-0.0184595,0.08548319,0.9497367
63.1185,0.08757234,1.110634,6.54373,0.2999173,-0.01604795,0.08507323,0.9500288
63.12963,0.08801126,1.110884,6.543676,0.2991642,-0.01376455,0.08457427,0.9503465
63.1407,0.088449,1.11127,6.543643,0.2982186,-0.01210148,0.08406673,0.9507114
63.15184,0.08887732,1.111673,6.54363,0.2972156,-0.01065422,0.08352681,0.9510903
63.16288,0.08913839,1.112149,6.54366,0.2957341,-0.009613083,0.08291318,0.9516167
63.17443,0.08940279,1.112646,6.543653,0.2941575,-0.008853805,0.08233447,0.9521629
63.18501,0.08962071,1.113169,6.543699,0.2923089,-0.008408134,0.08167,0.9527932
63.19629,0.08981073,1.113787,6.54373,0.2900055,-0.008199119,0.08103346,0.953553
63.2074,0.08977962,1.114647,6.543779,0.2873088,-0.008276104,0.08038822,0.9544229
63.21874,0.08970666,1.115563,6.543925,0.2838309,-0.008780802,0.07957727,0.9555262
63.22982,0.08958721,1.116491,6.543971,0.2797637,-0.009617646,0.07845887,0.9568093
63.24054,0.08932865,1.117864,6.544394,0.2744137,-0.01117794,0.07715067,0.9584466
63.25159,0.08915257,1.119488,6.545067,0.2684625,-0.01292698,0.07549282,0.9602404
63.26302,0.08870506,1.121324,6.545634,0.2608181,-0.01540717,0.07326713,0.9624804
63.2739,0.08820069,1.123205,6.546276,0.2530066,-0.01798193,0.07076138,0.9647058
63.28501,0.08757031,1.125227,6.546858,0.2441261,-0.02147839,0.06763559,0.9671435
63.29652,0.08685517,1.127469,6.547369,0.2351636,-0.02545099,0.0643622,0.9694884
63.30727,0.08617628,1.129639,6.547853,0.2262359,-0.02959521,0.06094928,0.9717132
63.31958,0.08539438,1.131913,6.548246,0.2170099,-0.03415126,0.05711553,0.9738985
63.32925,0.08476734,1.134062,6.548582,0.2080844,-0.03860795,0.05333586,0.9758922
63.34035,0.08407629,1.136288,6.548822,0.1992568,-0.04348959,0.04930244,0.9777396
63.35168,0.08334792,1.138431,6.548987,0.1906164,-0.04807243,0.04566032,0.9794231
63.36292,0.08277404,1.140489,6.549006,0.1825343,-0.05278315,0.0419797,0.9808837
63.37423,0.08224523,1.142308,6.54889,0.175354,-0.05710569,0.03868528,0.9820862
63.38533,0.08176506,1.14391,6.548715,0.1691891,-0.06092481,0.03560437,0.9830542
63.3964,0.08142018,1.145177,6.548342,0.1643965,-0.06431173,0.03273729,0.983751
63.40721,0.08113062,1.14616,6.547959,0.1602429,-0.06755086,0.0299987,0.9843065
63.41891,0.08090925,1.146881,6.54753,0.1576856,-0.07012967,0.02766567,0.9846074
63.42954,0.08073223,1.147448,6.547034,0.1553714,-0.07246154,0.02543927,0.9848665
63.44072,0.08057964,1.147767,6.546572,0.15438,-0.07426153,0.02348819,0.9849367
63.45166,0.08043242,1.148008,6.546076,0.1538339,-0.07573688,0.02181269,0.9849483
63.46313,0.08038628,1.148064,6.545558,0.1535277,-0.07705046,0.0200425,0.9849319
63.47419,0.08026421,1.148067,6.545096,0.1536274,-0.07810324,0.01859312,0.9848619
63.48504,0.08021402,1.148008,6.544668,0.1542118,-0.07869582,0.01727639,0.9847473
63.49616,0.08028543,1.147785,6.544316,0.1548901,-0.07908111,0.01621696,0.984628
63.50704,0.08031714,1.147639,6.544009,0.1557129,-0.07937098,0.01537,0.9844884
63.51826,0.080392,1.147375,6.543707,0.1569318,-0.07919472,0.01498488,0.984315
63.5297,0.08048487,1.147077,6.543432,0.1580799,-0.07908145,0.01477042,0.9841437
63.54055,0.08063519,1.146664,6.543097,0.1595511,-0.07885825,0.01486427,0.9839227
63.55147,0.08079708,1.146217,6.542889,0.1612333,-0.07831319,0.01524558,0.9836861
63.5627,0.0809828,1.145787,6.542685,0.1630972,-0.07767659,0.01566243,0.9834228
63.57399,0.08130133,1.145146,6.542444,0.1651638,-0.07679836,0.01620992,0.983138
63.58566,0.08156633,1.144503,6.542276,0.1673806,-0.07576712,0.01681108,0.9828329
63.59647,0.08181262,1.143934,6.542161,0.1698668,-0.07452605,0.01744923,0.9824901
63.60727,0.08211052,1.143278,6.542005,0.1726173,-0.07311641,0.01805168,0.9821056
63.61861,0.08244002,1.142538,6.541917,0.1757602,-0.0716671,0.01863142,0.981644
63.62936,0.08274496,1.141721,6.541762,0.1791604,-0.07015432,0.01922614,0.981127
63.64102,0.08305299,1.140857,6.541621,0.1829048,-0.0686414,0.01954369,0.9805367
63.65266,0.08334148,1.14001,6.541502,0.1866687,-0.06720757,0.02001282,0.979917
